1,[PAD]
0,[GRP]
2,tr|A0A493STA2|A0A493STA2_ANAPP
3,tr|A0A493SUB9|A0A493SUB9_ANAPP
4,tr|A0A493SUU1|A0A493SUU1_ANAPP
5,tr|A0A493SWB4|A0A493SWB4_ANAPP
6,tr|A0A493SWG7|A0A493SWG7_ANAPP
7,tr|A0A493SWX8|A0A493SWX8_ANAPP
8,tr|A0A493SY66|A0A493SY66_ANAPP
9,tr|A0A493SYC5|A0A493SYC5_ANAPP
10,tr|A0A493SZ08|A0A493SZ08_ANAPP
11,tr|A0A493T091|A0A493T091_ANAPP
12,tr|A0A493T295|A0A493T295_ANAPP
13,tr|A0A493T3M1|A0A493T3M1_ANAPP
14,tr|A0A493T4G5|A0A493T4G5_ANAPP
15,tr|A0A493T5B9|A0A493T5B9_ANAPP
16,tr|A0A493T5F2|A0A493T5F2_ANAPP
17,tr|A0A493T5Q5|A0A493T5Q5_ANAPP
18,tr|A0A493T6I2|A0A493T6I2_ANAPP
19,tr|A0A493T7Y8|A0A493T7Y8_ANAPP
20,tr|A0A493T7Z2|A0A493T7Z2_ANAPP
21,tr|A0A493T8L7|A0A493T8L7_ANAPP
22,tr|A0A493TA56|A0A493TA56_ANAPP
23,tr|A0A493TAY4|A0A493TAY4_ANAPP
24,tr|A0A493TEC3|A0A493TEC3_ANAPP
25,tr|A0A493TF07|A0A493TF07_ANAPP
26,tr|A0A493TFE6|A0A493TFE6_ANAPP
27,tr|A0A493TFX0|A0A493TFX0_ANAPP
28,tr|A0A493THL7|A0A493THL7_ANAPP
29,tr|A0A493THN2|A0A493THN2_ANAPP
30,tr|A0A493TIW4|A0A493TIW4_ANAPP
31,tr|A0A493TJW6|A0A493TJW6_ANAPP
32,tr|A0A493TKZ1|A0A493TKZ1_ANAPP
33,tr|A0A493TLI8|A0A493TLI8_ANAPP
34,tr|A0A493TM77|A0A493TM77_ANAPP
35,tr|A0A493TMV7|A0A493TMV7_ANAPP
36,tr|A0A493TNP5|A0A493TNP5_ANAPP
37,tr|A0A493TNX2|A0A493TNX2_ANAPP
38,tr|A0A493TP05|A0A493TP05_ANAPP
39,tr|A0A493TP57|A0A493TP57_ANAPP
40,tr|A0A493TSP8|A0A493TSP8_ANAPP
41,tr|A0A493TVW6|A0A493TVW6_ANAPP
42,tr|A0A493TXP2|A0A493TXP2_ANAPP
43,tr|A0A493TXV1|A0A493TXV1_ANAPP
44,tr|A0A493TY46|A0A493TY46_ANAPP
45,tr|A0A493TYQ4|A0A493TYQ4_ANAPP
46,tr|A0A493TZU5|A0A493TZU5_ANAPP
47,tr|A0A493U048|A0A493U048_ANAPP
48,tr|A0A493U0A8|A0A493U0A8_ANAPP
49,tr|A0A493U239|A0A493U239_ANAPP
50,tr|A0A493U293|A0A493U293_ANAPP
51,tr|A0A493U3A9|A0A493U3A9_ANAPP
52,tr|A0A493U3I1|A0A493U3I1_ANAPP
53,tr|U3I2H1|U3I2H1_ANAPP
54,tr|U3I3J0|U3I3J0_ANAPP
55,tr|U3I3P9|U3I3P9_ANAPP
56,tr|U3I3Y8|U3I3Y8_ANAPP
57,tr|U3I4L8|U3I4L8_ANAPP
58,tr|U3I4N6|U3I4N6_ANAPP
59,tr|U3I4P3|U3I4P3_ANAPP
60,tr|U3I4P9|U3I4P9_ANAPP
61,tr|U3I4Q3|U3I4Q3_ANAPP
62,tr|U3I4U2|U3I4U2_ANAPP
63,tr|U3I4W5|U3I4W5_ANAPP
64,tr|U3I4X8|U3I4X8_ANAPP
65,tr|U3I5P3|U3I5P3_ANAPP
66,tr|U3I640|U3I640_ANAPP
67,tr|U3I744|U3I744_ANAPP
68,tr|U3I7C1|U3I7C1_ANAPP
69,tr|U3I7C8|U3I7C8_ANAPP
70,tr|U3I7W5|U3I7W5_ANAPP
71,tr|U3I842|U3I842_ANAPP
72,tr|U3I8W5|U3I8W5_ANAPP
73,tr|U3I8X5|U3I8X5_ANAPP
74,tr|U3I991|U3I991_ANAPP
75,tr|U3I9L7|U3I9L7_ANAPP
76,tr|U3I9X7|U3I9X7_ANAPP
77,tr|U3IA67|U3IA67_ANAPP
78,tr|U3IA91|U3IA91_ANAPP
